warm out;cold out;warm in;cold in
5216175183.6;2864983950.0;19401007125.6;0.0
3068016440.4;2298181586.4;18938803438.8;216517845.6
2330756172.0;2532198009.6;19832565164.4;104311486.8
2084058176.4;2607128384.4;21030167491.2;112261208.4
30.073.432.859.999.900;1030127068.8;22169227716.0;61844857.2
774526280.4;38281464.0;18431341351.2;12.899.572.560.000.000
878064382.8;253635811.2;17050283035.2;21852.0
5012339824.8;977727956.4;31165350037.2;21.279.600.000.000.000
36.048.657.492.000.000;1092927510.0;26751143970.0;53468946.0
3573360939.6;1397885752.8;22494039141.6;75897028.8
2547481359.6;2755488103.2;17446930185.6;11.964.582.719.999.900
1633589377.2;6526052272.8;16371015300.0;167473479.6
212600952.0;1779624014.4;20120742439.2;89106696.0
172597824.0;2161636452.0;22601262679.2;20948.4
332770446.0;13553746671.6;21649805859.6;35.856.000.000.000.000
11.107.582.560.000.000;14476026452.4;21.096.274.298.399.900;10.357.759.439.999.900
9.844.689.239.999.990;17457127761.6;13875182416.8;202485711.6
134826904.8;5513244692.4;14992104441.6;205626726.0
10.400.384.124.000.000;1900365699.6;18442931558.4;10.339.659.360.000.000
539547019.2;72489290.4;19059372586.8;104452682.4
318367036.8;1176118030.8;17610401721.6;9.194.400.000.000.000
1503036579.6;10358077064.4;21148534544.4;4.597.200.000.000.000
209851455.6;9694679788.8;26139597174.0;57562956.0
291799562.4;7.175.714.439.599.990;24315448860.0;67748533.2
493624634.4;2764993212.0;23854277512.8;53031232.8
1125723672.0;2276996043.6;24109987082.4;65.248.016.400.000.000
344062512.0;467154748.8;21818750450.4;60669756.0
351737532.0;1509274940.4;23865430464.0;20998.8
1502230528.8;5.192.587.101.599.990;23675709625.2;21877.2
1127732886.0;2320095301.2;21998516500.8;10.850.588.639.999.900
2029573612.8;1926021992.4;21685362350.4;116954665.2
1586519301.6;40.129.382.267.999.900;17827301959.2;143089268.4
1238711835.6;6029795491.2;20241475304.4;81795020.4
161450704.8;1924675599.6;19013573167.2;93178886.4
128320120.8;2530399284.0;18057039235.2;6163.2
118951768.8;15617852290.8;19200940185.6;17233.2
80196055.2;16116637662.0;20352051381.6;159213909.6
6.166.719.360.000.000;17861590116.0;328621500.0;0.0
30317331.6;20477982297.6;29906829759.6;34544581.2
39398965.2;19409220540.0;30182746917.6;34.276.708.800.000.000
46770512.4;2671477423.2;28698887898.0;32.011.142.400.000.000
164898673.2;1860400256.4;22503508081.2;53577237.6
214975184.4;11324274922.8;23806074826.8;49690062.0
174851524.8;11.356.271.143.199.900;28954630263.6;11.440.800.000.000.000
78565471.2;12.901.468.795.199.900;31.273.215.602.399.900;20998.8
270819820.8;10892438438.4;33572422713.6;13.233.232.799.999.900
179454600.0;12869642772.0;28727051216.4;31837132.8
128526861.6;1087854674.4;23665856756.4;46138388.4
226763784.0;1847597806.8;22854223551.6;42.993.259.199.999.900
215476272.0;13641614409.6;22.771.301.774.399.900;59652885.6
89991925.2;16293046676.4;16766100471.6;0.0
66872923.2;18317449976.4;22367725542.0;8305.2
32.897.325.599.999.900;19867171618.8;24251596581.6;11.518.658.280.000.000
2754849.6;23201404293.6;18693686599.2;171005572.8
21612564.0;4924096628.4;17848542844.8;185605642.8
25.835.821.200.000.000;4780746561.6;14489301787.2;157130020.8
64789858.8;23407122999.6;14924738325.6;171445190.4
73697767.2;19500460848.0;13551811380.0;0.0
37228312.8;20848715722.8;21600533782.8;3830.4
19717657.2;21471250230.0;19461877138.8;194923882.8
24265105.2;22.495.534.959.600.000;14352162555.6;25.737.142.320.000.000
48957066.0;4385824776.0;11.881.651.597.199.900;322542828.0
15.838.909.920.000.000;2878057944.0;12768873447.6;313289794.8
167529589.2;14.840.235.140.400.000;17.619.168.063.600.000;112470253.2
335434780.8;9622950382.8;17521502248.8;18828.0
198694846.8;13900024231.2;17951684191.2;19.368.000.000.000.000
127039946.4;14.985.547.714.800.000;18888669889.2;190023033.6
182695190.4;13.986.912.805.199.900;13030661030.4;226000605.6
10.453.380.839.999.900;2398990456.8;15043627958.4;197610807.6
99316137.6;2583503294.4;19000466712.0;209849166.0
99147747.6;17340985332.0;24218673397.2;8.750.441.160.000.000
37.853.434.800.000.000;21237690762.0;25139857528.8;15318.0
55355853.6;21330505386.0;30353023227.6;6534.0
99946807.2;16041238437.6;31149774813.6;54838018.8
110443950.0;17309261581.2;25528876318.8;72053496.0
8.451.404.639.999.990;3228700010.4;29846580764.4;53423884.8
54948441.6;5980938883.2;22093902054.0;9.505.900.439.999.990
4.767.555.960.000.000;17105029236.0;23939660800.8;64881680.4
150037016.4;9899126683.2;26206262985.6;17.607.600.000.000.000
411203383.2;8319432330.0;30009681118.8;12452.4
419168613.6;7.665.475.305.599.990;25412295121.2;65056471.2
567220248.0;6129045514.8;17016381979.2;166381164.0
